listing_id,year,engine_cc,mileage_km,transmission,fuel_type,body_type,city
3319957d-88e7-45b4-aa3c-626d8873ecff,2018,800,13112,Automatic,Petrol,SUV,Karachi
94c54bc6-6e9e-45f8-aa20-9c0a882ba6c3,2021,800,285929,Manual,Hybrid,Coupe,Lahore
02cacc7e-6514-4ce0-8e0b-77e9ac1469e6,1998,800,114629,Manual,Hybrid,Sedan,Faisalabad
40962b2e-327c-4990-a0e3-f314991b1c9d,2004,2000,340726,Automatic,Petrol,Coupe,Faisalabad
ccc2a2b9-3c32-4e22-a776-677820739e8a,2006,800,83707,Automatic,Diesel,Hatchback,Karachi
09263624-3982-40b6-b34c-0ff1ea7ebf1b,2004,1300,53587,Manual,Diesel,Sedan,Islamabad
b3ee1ca2-55ad-4825-9672-7dfd49273dc9,2009,1800,138685,Manual,Hybrid,Coupe,Faisalabad
9c5989a0-1858-4930-8a86-af9e52377d1b,2001,1500,41313,Automatic,Hybrid,Hatchback,Faisalabad
3c595b88-cd8e-494a-83f1-8e6b2ed5c235,2004,2000,36466,Manual,Hybrid,SUV,Islamabad
af4100f2-38b4-4420-b135-23368540b457,2000,1000,52953,Automatic,Diesel,Coupe,Islamabad
d1f390de-4c54-4154-9f85-14d766c3b9ad,2003,1300,186264,Manual,Hybrid,Hatchback,Lahore
7fda817c-068f-4cd8-a65b-a27783a9afba,2017,2000,89725,Manual,Petrol,Coupe,Rawalpindi
2f5b8ef6-7e82-4817-84bb-0b4210274a56,2006,2000,292002,Manual,Hybrid,Hatchback,Lahore
73778c9b-835c-4b3e-8040-009c2664a026,2005,800,165388,Automatic,Diesel,Sedan,Karachi
e3632222-50fb-4968-ba8c-bd569171c41f,2016,2000,164981,Manual,Hybrid,Coupe,Rawalpindi
8b615df9-0928-45f1-af08-dc05f2a0c1ed,2018,1500,74905,Automatic,Petrol,SUV,Faisalabad
0fa74bbf-29c0-470d-8032-205c49d3873a,2015,1300,306491,Automatic,Hybrid,Coupe,Islamabad
fa7ef102-4c79-42fc-b1a3-7d024b876041,2005,1000,267138,Automatic,Petrol,Sedan,Lahore
