expectation_type,success,unexpected_count,unexpected_percent
expect_column_to_exist,True,,
expect_column_to_exist,True,,
expect_column_to_exist,True,,
expect_column_to_exist,True,,
expect_column_to_exist,True,,
expect_column_to_exist,False,,
expect_column_to_exist,True,,
expect_column_values_to_be_between,True,0.0,0.0
expect_column_values_to_be_between,False,178.0,0.2857188718920047
expect_column_values_to_be_between,True,0.0,0.0
expect_column_values_to_be_in_set,True,0.0,0.0
expect_column_values_to_be_in_set,True,0.0,0.0
expect_column_values_to_be_in_set,False,,
expect_column_values_to_be_in_set,False,16640.0,26.70861288562165
expect_column_values_to_not_be_null,True,0.0,0.0
